lights_1,lights_2,lights_3,lights_4,lights_5,lights_6,lights_7,speed,time
0,0,0,0,0,0,0,0.0,2023-12-24 20:00:00 UTC
1,1,1,1,1,0,0,61.28,2023-12-24 20:00:05 UTC
1,1,1,1,1,1,1,73.68,2023-12-24 20:00:10 UTC
1,1,1,1,1,1,1,31.89,2023-12-24 20:00:15 UTC
1,1,1,1,1,1,0,69.61,2023-12-24 20:00:20 UTC
1,1,1,1,1,1,1,36.72,2023-12-24 20:00:25 UTC
0,0,1,1,1,1,0,0.0,2023-12-24 20:00:30 UTC
1,1,1,1,1,1,1,59.75,2023-12-24 20:00:35 UTC
1,1,1,1,1,1,0,34.78,2023-12-24 20:00:40 UTC
0,0,1,1,1,1,1,0.0,2023-12-24 20:00:45 UTC
1,1,1,1,1,1,1,64.58,2023-12-24 20:00:50 UTC
1,1,1,1,1,1,1,78.45,2023-12-24 20:00:55 UTC
1,1,1,1,1,1,1,90.48,2023-12-24 20:01:00 UTC
0,0,0,0,0,0,0,0.0,2023-12-24 20:01:05 UTC
1,1,1,1,1,1,1,91.64,2023-12-24 20:01:10 UTC
1,1,1,1,1,0,0,78.59,2023-12-24 20:01:15 UTC
1,1,1,1,1,1,1,62.05,2023-12-24 20:01:20 UTC
1,1,1,1,1,1,1,90.61,2023-12-24 20:01:25 UTC
0,0,0,0,0,0,0,0.0,2023-12-24 20:01:30 UTC
1,1,1,1,0,0,0,42.73,2023-12-24 20:01:35 UTC
1,1,1,1,1,1,0,47.19,2023-12-24 20:01:40 UTC
1,1,1,1,1,1,1,73.55,2023-12-24 20:01:45 UTC
1,1,1,1,1,1,1,63.76,2023-12-24 20:01:50 UTC
0,0,1,1,1,1,1,0.0,2023-12-24 20:01:55 UTC
1,1,1,1,1,0,0,66.32,2023-12-24 20:02:00 UTC
0,0,1,1,1,1,1,0.0,2023-12-24 20:02:05 UTC
1,1,1,1,1,0,0,61.94,2023-12-24 20:02:10 UTC
1,1,1,1,1,1,1,36.53,2023-12-24 20:02:15 UTC
1,1,1,1,1,1,0,62.81,2023-12-24 20:02:20 UTC
1,1,1,1,1,1,1,52.18,2023-12-24 20:02:25 UTC
1,1,1,1,1,1,0,64.57,2023-12-24 20:02:30 UTC
0,0,1,1,1,1,1,0.0,2023-12-24 20:02:35 UTC
0,0,0,0,0,0,0,0.0,2023-12-24 20:02:40 UTC
